step,run_id,true_count,est_count
95000,10,90936,88846.2
100000,10,95679,93435.4
5000,11,4882,4878.21
10000,11,9716,9704.67
15000,11,14537,14553
20000,11,19358,19354.1
25000,11,24145,24290.6
30000,11,28948,29187.1
35000,11,33728,34165.9
40000,11,38531,39182.5
45000,11,43306,44200.9
50000,11,48096,48564.1
55000,11,52863,53286.9
60000,11,57630,57418.5
65000,11,62396,61839.5
70000,11,67170,66381.4
75000,11,71952,70743.6
80000,11,76696,75102.6
85000,11,81449,79752.7
90000,11,86180,84298.4
95000,11,90929,88282.8
100000,11,95645,92700
5000,12,4886,4903.82
10000,12,9710,9708.28
15000,12,14510,14477.8
20000,12,19350,19426
25000,12,24133,24024.1
30000,12,28921,28747.6
35000,12,33700,33242.8
40000,12,38482,38114.1
45000,12,43244,43623.9
50000,12,48012,48110.8
55000,12,52793,52610.9
60000,12,57560,57103.6
65000,12,62336,61945.2
70000,12,67064,66553.3
75000,12,71804,71131.8
80000,12,76539,75491.5
85000,12,81299,80221.6
90000,12,86041,84485.8
95000,12,90790,88857.7
100000,12,95520,93600.5
5000,13,4895,4859.36
10000,13,9732,9833.55
15000,13,14552,14670.1
20000,13,19363,19485
25000,13,24160,24229.1
30000,13,28941,28753.4
35000,13,33742,33839.2
40000,13,38556,39171.5
45000,13,43344,44265.7
50000,13,48147,48593.8
55000,13,52923,52925
60000,13,57707,57562.5
65000,13,62466,61784.6
70000,13,67234,65946.2
75000,13,72002,70430
80000,13,76779,75069.8
85000,13,81528,79716.8
90000,13,86291,83850
95000,13,91040,88055.7
100000,13,95764,92126.6
5000,14,4888,4899.77
10000,14,9721,9704.67
15000,14,14547,14509.3
20000,14,19364,19416.2
25000,14,24190,24198.4
30000,14,28993,29068.7
35000,14,33775,33682.2
40000,14,38545,38497.5
45000,14,43344,44278.6
50000,14,48133,49047.7
55000,14,52926,53421.6
60000,14,57705,57845.2
65000,14,62465,62258.9
70000,14,67218,67101.8
75000,14,71956,71604.5
80000,14,76701,75948.7
85000,14,81481,80701.2
90000,14,86222,84942.2
95000,14,90985,89557.7
100000,14,95723,93814.5
5000,15,4896,4917.31
10000,15,9703,9806.24
15000,15,14507,14657.9
20000,15,19321,19386.8
25000,15,24131,24172.1
30000,15,28927,28916.1
35000,15,33721,33580.9
40000,15,38513,38539.4
45000,15,43307,43667.3
50000,15,48100,48211.1
55000,15,52874,52423.9
60000,15,57641,57012.7
65000,15,62428,61419.5
70000,15,67198,66111.6
75000,15,71955,70502.9
80000,15,76712,74636.6
85000,15,81484,79166.8
90000,15,86228,83684.7
95000,15,90937,88028.2
100000,15,95662,92101.9
5000,16,4912,4928.12
10000,16,9758,9813.52
15000,16,14565,14645.6
20000,16,19328,19501.4
25000,16,24125,24176.5
30000,16,28934,28881.1
35000,16,33737,33596.5
40000,16,38516,38729.7
45000,16,43325,43948.8
50000,16,48120,48131.7
55000,16,52891,52643.5
60000,16,57664,57225.4
65000,16,62432,61405.5
70000,16,67191,65886.6
75000,16,71946,70042.2
80000,16,76709,74293.8
85000,16,81427,78778.2
90000,16,86177,83303.2
95000,16,90955,87647.1
100000,16,95716,91880.6
5000,17,4909,4901.12
10000,17,9713,9813.52
15000,17,14547,14726.5
20000,17,19342,19468.6
25000,17,24162,24185.3
